reltime,datetime,iSensor,ibi
0.001,2024/06/20 09:26:29.8259,5,1071
0.001,2024/06/20 09:26:29.8259,4,0
0.001,2024/06/20 09:26:29.8259,3,1031
0.001,2024/06/20 09:26:29.8259,2,0
0.001,2024/06/20 09:26:29.8259,1,0
0.001,2024/06/20 09:26:29.8259,0,0
0.926,2024/06/20 09:26:30.7509,3,974
1.911,2024/06/20 09:26:31.7359,3,910
2.582,2024/06/20 09:26:32.4069,5,1071
2.829,2024/06/20 09:26:32.6539,5,1071
2.896,2024/06/20 09:26:32.7209,3,979
3.074,2024/06/20 09:26:32.8989,5,1071
4.127,2024/06/20 09:26:33.9519,3,1141
5.112,2024/06/20 09:26:34.9369,3,1166
5.784,2024/06/20 09:26:35.6089,5,1071
6.03,2024/06/20 09:26:35.8549,5,1071
6.097,2024/06/20 09:26:35.9219,3,1087
6.276,2024/06/20 09:26:36.1009,5,1071
6.522,2024/06/20 09:26:36.3469,5,1071
6.768,2024/06/20 09:26:36.5929,5,1071
6.837,2024/06/20 09:26:36.6619,3,1000
7.015,2024/06/20 09:26:36.8399,5,1071
7.261,2024/06/20 09:26:37.0859,5,1052
7.508,2024/06/20 09:26:37.3329,5,1052
7.575,2024/06/20 09:26:37.3999,3,962
7.754,2024/06/20 09:26:37.5789,5,1052
8.0,2024/06/20 09:26:37.8249,5,1052
8.247,2024/06/20 09:26:38.0719,5,1052
8.493,2024/06/20 09:26:38.3179,5,1052
8.56,2024/06/20 09:26:38.3849,3,872
8.739,2024/06/20 09:26:38.5639,5,1052
8.985,2024/06/20 09:26:38.8099,5,1052
9.232,2024/06/20 09:26:39.0569,5,1052
9.299,2024/06/20 09:26:39.1239,3,785
9.477,2024/06/20 09:26:39.3019,5,1052
10.216,2024/06/20 09:26:40.0409,5,1034
10.463,2024/06/20 09:26:40.2879,5,1034
10.53,2024/06/20 09:26:40.3549,3,789
10.709,2024/06/20 09:26:40.5339,5,1034
10.955,2024/06/20 09:26:40.7799,5,1034
11.202,2024/06/20 09:26:41.0269,5,1034
11.448,2024/06/20 09:26:41.2729,5,1034
11.515,2024/06/20 09:26:41.3399,3,857
12.993,2024/06/20 09:26:42.8179,3,1095
13.979,2024/06/20 09:26:43.8039,3,1116
14.157,2024/06/20 09:26:43.9819,5,1034
14.403,2024/06/20 09:26:44.2279,5,1034
14.649,2024/06/20 09:26:44.4739,5,1034
15.21,2024/06/20 09:26:45.0349,3,1134
16.194,2024/06/20 09:26:46.0189,3,1113
17.18,2024/06/20 09:26:47.0049,3,1130
17.358,2024/06/20 09:26:47.1829,5,1017
17.605,2024/06/20 09:26:47.4299,5,1017
17.851,2024/06/20 09:26:47.6759,5,1017
17.919,2024/06/20 09:26:47.7439,3,1080
18.904,2024/06/20 09:26:48.7289,3,1015
19.889,2024/06/20 09:26:49.7139,3,941
20.56,2024/06/20 09:26:50.3849,5,1034
20.806,2024/06/20 09:26:50.6309,5,1034
20.874,2024/06/20 09:26:50.6989,3,946
21.053,2024/06/20 09:26:50.8779,5,1034
22.105,2024/06/20 09:26:51.9299,3,968
23.09,2024/06/20 09:26:52.9149,3,942
23.762,2024/06/20 09:26:53.5869,5,1091
23.829,2024/06/20 09:26:53.6539,3,936
24.007,2024/06/20 09:26:53.8319,5,1091
24.254,2024/06/20 09:26:54.0789,5,1091
24.814,2024/06/20 09:26:54.6389,3,984
25.799,2024/06/20 09:26:55.6239,3,1011
26.784,2024/06/20 09:26:56.6089,3,1010
26.963,2024/06/20 09:26:56.7879,5,1091
27.21,2024/06/20 09:26:57.0349,5,1091
27.455,2024/06/20 09:26:57.2799,5,1091
28.016,2024/06/20 09:26:57.8409,3,998
29.001,2024/06/20 09:26:58.8259,3,1065
30.165,2024/06/20 09:26:59.9899,5,1000
30.232,2024/06/20 09:27:00.0569,3,1128
30.412,2024/06/20 09:27:00.2369,5,1000
30.657,2024/06/20 09:27:00.4819,5,1000
31.217,2024/06/20 09:27:01.0419,3,1133
32.695,2024/06/20 09:27:02.5199,3,1109
33.367,2024/06/20 09:27:03.1919,5,1000
33.613,2024/06/20 09:27:03.4379,5,999
33.68,2024/06/20 09:27:03.5049,3,1134
33.859,2024/06/20 09:27:03.6839,5,1000
34.911,2024/06/20 09:27:04.7359,3,1151
35.897,2024/06/20 09:27:05.7219,3,1092
36.075,2024/06/20 09:27:05.8999,5,1017
36.321,2024/06/20 09:27:06.1459,5,1071
36.568,2024/06/20 09:27:06.3929,5,1071
36.814,2024/06/20 09:27:06.6389,5,1071
36.882,2024/06/20 09:27:06.7069,3,1126
37.06,2024/06/20 09:27:06.8849,5,1071
37.307,2024/06/20 09:27:07.1319,5,1091
37.553,2024/06/20 09:27:07.3779,5,1091
37.8,2024/06/20 09:27:07.6249,5,1091
38.045,2024/06/20 09:27:07.8699,5,1091
38.113,2024/06/20 09:27:07.9379,3,1170
38.292,2024/06/20 09:27:08.1169,5,1110
38.538,2024/06/20 09:27:08.3629,5,1110
38.785,2024/06/20 09:27:08.6099,5,1110
39.031,2024/06/20 09:27:08.8559,5,1110
39.098,2024/06/20 09:27:08.9229,3,1118
39.277,2024/06/20 09:27:09.1019,5,1110
39.524,2024/06/20 09:27:09.3489,5,1110
39.77,2024/06/20 09:27:09.5949,5,1110
40.016,2024/06/20 09:27:09.8409,5,1110
40.262,2024/06/20 09:27:10.0869,5,1132
40.33,2024/06/20 09:27:10.1549,3,1101
40.508,2024/06/20 09:27:10.3329,5,1132
40.755,2024/06/20 09:27:10.5799,5,1132
41.001,2024/06/20 09:27:10.8259,5,1132
41.56,2024/06/20 09:27:11.3849,3,1110
41.739,2024/06/20 09:27:11.5639,5,1153
41.986,2024/06/20 09:27:11.8109,5,1153
42.232,2024/06/20 09:27:12.0569,5,1153
42.792,2024/06/20 09:27:12.6169,3,1124
43.777,2024/06/20 09:27:13.6019,3,1069
44.763,2024/06/20 09:27:14.5879,3,1114
44.941,2024/06/20 09:27:14.7659,5,1153
45.188,2024/06/20 09:27:15.0129,5,1153
45.434,2024/06/20 09:27:15.2589,5,1153
45.994,2024/06/20 09:27:15.8189,3,1111
46.979,2024/06/20 09:27:16.8039,3,1003
47.964,2024/06/20 09:27:17.7889,3,1030
48.39,2024/06/20 09:27:18.2149,5,1153
48.635,2024/06/20 09:27:18.4599,5,1153
48.948,2024/06/20 09:27:18.7729,3,1108
50.18,2024/06/20 09:27:20.0049,3,1104
51.165,2024/06/20 09:27:20.9899,3,1043
51.345,2024/06/20 09:27:21.1699,5,1132
51.591,2024/06/20 09:27:21.4159,5,1132
51.837,2024/06/20 09:27:21.6619,5,1132
52.396,2024/06/20 09:27:22.2209,3,1111
53.382,2024/06/20 09:27:23.2069,3,1171
54.546,2024/06/20 09:27:24.3709,5,1091
54.792,2024/06/20 09:27:24.6169,5,1091
54.859,2024/06/20 09:27:24.6839,3,1169
55.038,2024/06/20 09:27:24.8629,5,1091
55.598,2024/06/20 09:27:25.4229,3,1072
56.583,2024/06/20 09:27:26.4079,3,1086
57.749,2024/06/20 09:27:27.5739,5,1091
57.994,2024/06/20 09:27:27.8189,5,1091
58.061,2024/06/20 09:27:27.8859,3,1129
58.24,2024/06/20 09:27:28.0649,5,1091
59.292,2024/06/20 09:27:29.1169,3,1039
60.277,2024/06/20 09:27:30.1019,3,1071
60.949,2024/06/20 09:27:30.7739,5,1132
